事件guid,规则名称,描述,预警时间,状态,级别
f61cf21e43fa44b488317915522c7d18,疑似共同食品聚集,食品名称：熬菜;加工及包装方式：餐饮服务业,2019/8/20 12:09,已排除,医院级
fa6140b9ef614fcb9045045cfae7ba34,疑似共同食品聚集,食品名称：牛肉;加工及包装方式：餐饮服务业,2019/8/20 12:09,已排除,医院级
d847e8dae3fc42bda7a20e321c82556a,疑似共同食品聚集,食品名称：鱼;加工及包装方式：餐饮服务业,2019/8/20 12:09,已排除,医院级
b09973a20f5848d2bebe36fc0e651061,疑似共同食品聚集,食品名称：炒豆角;加工及包装方式：餐饮服务业,2019/8/21 1:09,已排除,医院级
690748a58e58415db1b31c163bcb4d11,疑似共同食品聚集,食品名称：海鲜;加工及包装方式：餐饮服务业,2019/8/8 1:05,已排除,区县级
45c6455dd49c45de8afc306587fb2480,疑似共同食品聚集,食品品牌：银麦啤酒;食品名称：啤酒;加工及包装方式：预包装,2019/7/18 3:15,已排除,医院级
0a3c86ad036b4ac7b8c3f10227070d6f,疑似共同食品聚集,食品品牌：青岛啤酒;食品名称：啤酒;加工及包装方式：预包装,2019/7/19 3:24,已排除,医院级
126dca12fd564e1eb0e24bf562a947fe,疑似共同食品聚集,食品品牌：伊利小布丁;食品名称：冰糕;加工及包装方式：预包装,2019/7/18 3:15,已排除,医院级
180069723f6e40e2ac32bdd13461549a,疑似共同食品聚集,食品名称：肉夹馍;加工及包装方式：餐饮服务业,2019/10/2 12:12,已排除,区县级
6c5aebc0e2114398bb9447c61c0c5935,疑似共同食品聚集,食品名称：烤鱿鱼;加工及包装方式：餐饮服务业,2019/7/23 0:10,已排除,区县级
7d508b393c9e489692dc69b3e6452bc2,疑似共同地点聚集,进食场所：餐饮业-其他;详细进食地点：山东省日照市东港区华润万象汇,2019/9/5 12:10,已排除,区县级
8f2351fe5e1e42099225aca74d26113f,疑似共同食品聚集,食品名称：烤鱿鱼;加工及包装方式：餐饮服务业,2019/7/30 16:08,已排除,区县级
d3dec17f380342a085e61617d0179464,疑似共同食品聚集,食品名称：肉夹馍;加工及包装方式：餐饮服务业,2019/8/31 12:11,已排除,区县级
ec72c3b1c9d24e8c97fc7eea9e4ad881,疑似共同食品聚集,食品名称：羊肉汤;加工及包装方式：餐饮服务业,2019/10/10 16:12,已排除,区县级
ebd71c4bcfb04a5eab5c05eb25fb390d,疑似共同食品聚集,食品名称：酒;加工及包装方式：餐饮服务业,2019/9/6 12:11,已排除,医院级
73f0a8742fc44c85ad760762e7def083,疑似共同食品聚集,食品名称：酒;加工及包装方式：餐饮服务业,2019/7/31 16:06,已排除,医院级
02c4496c2c7d419aabcd37f63aee8a60,疑似共同食品聚集,食品名称：混合食物;加工及包装方式：餐饮服务业,2019/7/30 12:04,已排除,医院级
b717e367652548a6bacb8cf8fd3b6542,疑似共同食品聚集,食品名称：火锅;加工及包装方式：餐饮服务业,2019/10/24 12:13,已排除,医院级
c349f4dccfff46539adc807f12b2a457,疑似共同食品聚集,食品名称：油条;加工及包装方式：餐饮服务业,2019/10/30 12:13,已排除,医院级
95acbdb51d3448698399c34bd5f6d6d3,疑似共同食品聚集,食品名称：火锅;加工及包装方式：餐饮服务业,2019/10/30 12:13,已排除,医院级
85fca4643ae3434c8f6ff96e161e5eb0,疑似共同食品聚集,食品名称：西瓜;加工及包装方式：餐饮服务业,2019/8/25 1:09,已排除,医院级
763d9de14c314651af49f9051f621b85,疑似共同食品聚集,食品名称：煮大虾;加工及包装方式：餐饮服务业,2019/8/25 1:09,已排除,医院级
8223b30581be444aa9a4c62a0af4b91c,疑似共同食品聚集,食品名称：炖排骨;加工及包装方式：餐饮服务业,2019/8/25 1:09,已排除,医院级
610c836372b6464abafdf5376ebf999f,疑似共同食品聚集,食品名称：煮丸子;加工及包装方式：餐饮服务业,2019/8/25 1:09,已排除,医院级
613b2e367b7f480c9ee57beb400aa458,疑似共同食品聚集,食品名称：油炸花生米;加工及包装方式：餐饮服务业,2019/8/25 1:09,已排除,医院级
00c1a9fd6b924ed783cebd9d5a81e424,疑似共同食品聚集,食品品牌：今麦郎;食品名称：冰糖雪梨;加工及包装方式：预包装,2019/8/30 16:11,已排除,医院级
06efa609b9784041b0fa5b5d45d2b0f5,疑似共同食品聚集,食品名称：烤鸭;加工及包装方式：餐饮服务业,2019/8/25 1:09,已排除,医院级
13133e125da34fc29b8b752e6095105f,疑似共同食品聚集,食品名称：蒸年糕;加工及包装方式：餐饮服务业,2019/8/25 1:09,已排除,医院级
0aef8be67ff741ef953d7d4ba70fe834,疑似共同食品聚集,食品名称：炒菜花;加工及包装方式：餐饮服务业,2019/8/25 1:09,已排除,医院级
4b186ceb8e7349288cc3d3bf72db181e,疑似共同食品聚集,食品名称：炸小鱼;加工及包装方式：餐饮服务业,2019/8/25 1:09,已排除,医院级
2b248a00daab4ad7936ac0da9e9b3a74,疑似共同食品聚集,食品名称：老豆腐;加工及包装方式：餐饮服务业,2019/9/3 1:11,已排除,医院级
299f66c04f6e47cd8a5534a0207bd8b4,疑似共同食品聚集,食品名称：凉拌豆角;加工及包装方式：餐饮服务业,2019/8/25 1:09,已排除,医院级
c9e00569fccf458886425eb4b64c41e4,疑似共同食品聚集,食品名称：炸虾;加工及包装方式：餐饮服务业,2019/8/30 16:11,已排除,医院级
d5a093c7aa4144449395f88b77c38b2e,疑似共同地点聚集,进食场所：饭店（酒店）;详细进食地点：山东省滨州市惠民县淄角蓝天饭店,2019/8/25 1:08,已排除,医院级
d5be0be06d08431494d2b8c53e30577d,疑似共同食品聚集,食品名称：油炸鸡叉骨;加工及包装方式：餐饮服务业,2019/9/10 12:11,已排除,医院级
d65214f5c6c34d2ead33133382fd11c0,疑似共同食品聚集,食品名称：葡萄;加工及包装方式：餐饮服务业,2019/8/25 1:09,已排除,医院级
b1cf031b71d4468cb6998ad64b5a9f7b,疑似共同食品聚集,食品名称：韭菜包子;加工及包装方式：餐饮服务业,2019/10/15 16:14,已排除,医院级
5fbd77cb314e4dd69ddc23601e331cb3,疑似共同食品聚集,食品名称：火锅;加工及包装方式：餐饮服务业,2019/10/12 16:12,已排除,医院级
639e45214cdd4d5e9fd770a1be0dc5d5,疑似共同食品聚集,食品名称：火锅;加工及包装方式：餐饮服务业,2019/12/10 12:16,已排除,医院级
b635f6994835428791209ffaa2e4ff26,疑似共同地点聚集,进食场所：餐饮业-其他;详细进食地点：山东省淄博市张店区王舍铁路小区,2019/8/28 16:09,已排除,医院级
bbf0410f64494db5b5ec1165d25c5e20,疑似共同地点聚集,进食场所：学校食堂;详细进食地点：四川省宜宾市珙县珙县中学校学生食堂,2019/12/23 12:17,已排除,医院级
ea5caae9def746e6896f9bf80a218596,疑似共同食品聚集,食品名称：食堂中餐;加工及包装方式：餐饮服务业,2019/12/23 12:17,已排除,医院级
04ac7f6f49b74b1ba87f494968539588,横纹肌溶解综合症监测,初步诊断：横纹肌溶解综合征,2019/10/12 12:13,已排除,医院级
bb782af3595a4b4cbabdef4ea6e6a569,疑似共同食品聚集,食品名称：海鲜;加工及包装方式：餐饮服务业,2019/8/6 12:06,已确定,医院级
b34cf357c3af42efbde1f8dd4036be8d,疑似共同地点聚集,进食场所：餐饮业-其他;详细进食地点：辽宁省大连市长海县开宇渔家,2019/8/5 1:04,已确定,医院级
b0345631fec54f90942d90425b98cbf7,疑似共同地点聚集,进食场所：餐饮业-其他;详细进食地点：辽宁省大连市长海县晓静渔家,2019/8/5 1:04,已确定,医院级
e8e766cb3d164014b811a4e6ca4d09fe,疑似共同食品聚集,食品名称：韭菜火烧;加工及包装方式：餐饮服务业,2019/9/11 12:10,已排除,医院级
38ff362fb8b7468daaf5de1f6afed0a9,疑似共同地点聚集,进食场所：饭店（酒店）;详细进食地点：山东省日照市五莲县洪凝街道城区,2019/9/11 1:10,已排除,医院级
6f39d10c381a4d2198334e97e6776271,疑似共同食品聚集,食品名称：炒花蛤;加工及包装方式：餐饮服务业,2019/8/7 12:05,已排除,医院级
8c74e77f01c54db4b332a7eb1ef598fe,疑似共同地点聚集,进食场所：农贸市场;详细进食地点：湖南省湘西土家族苗族自治州龙山县比溪村3组,2019/12/18 16:17,已排除,医院级
0c64aa07e16f40579e4975fc95276ed2,疑似共同食品聚集,食品名称：扇贝;加工及包装方式：餐饮服务业,2019/11/8 12:14,已排除,医院级
e594036112f745bf9b52b0b40a42097b,疑似共同地点聚集,进食场所：饭店（酒店）;详细进食地点：重庆市九龙坡区铝城宾馆,2019/11/8 12:14,已排除,医院级
9d09c4a74f7b4a978f94ae2ae930d365,疑似共同食品聚集,食品品牌：华英;食品名称：雪糕;加工及包装方式：预包装,2019/7/7 3:16,已排除,医院级
2c742ad1f8dc45f5be24d87df0496f54,疑似共同食品聚集,食品名称：烧鸡;加工及包装方式：餐饮服务业,2019/9/13 12:11,已排除,医院级
9076671872cf42d289c95007048dc54c,疑似共同食品聚集,食品品牌：归一;食品名称：牛奶;加工及包装方式：预包装,2019/7/7 3:17,已排除,医院级
97c534459cac49878b4e7eb099083e50,疑似共同食品聚集,食品名称：腐竹;加工及包装方式：餐饮服务业,2019/10/3 12:12,已确定,医院级
6bec0ed4cfd34c01991632c999efc673,疑似共同食品聚集,食品名称：面糊饼;加工及包装方式：餐饮服务业,2019/9/18 12:11,已确定,医院级
571282708eb241cf83dfad83b847b843,疑似共同地点聚集,进食场所：餐饮业-其他;详细进食地点：河北省邢台市威县鲜来鲜涮,2019/10/3 12:11,已确定,医院级
01f6a92e195540c2a74beebd766dee29,疑似共同食品聚集,食品名称：花生;加工及包装方式：餐饮服务业,2019/10/3 12:12,已确定,医院级
23287c9b22ed4291885677fc9a14af59,疑似共同食品聚集,食品名称：血块;加工及包装方式：餐饮服务业,2019/10/3 12:12,已确定,医院级
e2ebab79c3184fdeb21bbdab4ee8ea30,疑似共同食品聚集,食品名称：八宝粥;加工及包装方式：餐饮服务业,2019/9/18 12:11,已确定,医院级
d9019d216bde40ce86e6a5c8c233f4f8,疑似共同食品聚集,食品品牌：阳小哈;食品名称：鱼仔酱;加工及包装方式：预包装,2019/8/16 16:10,已确定,医院级
e70e4404569f4deabc7a330e69d06590,疑似共同食品聚集,食品名称：韭菜猪肉包子;加工及包装方式：餐饮服务业,2019/12/7 12:16,已排除,医院级
fbbef586641744778fd0cded7373205c,疑似共同地点聚集,进食场所：街头食品;详细进食地点：河北省邢台市威县西贺钊经济小吃,2019/9/18 12:11,已确定,医院级
87b9b817847a4bc08a2fc6b6ef1ed028,疑似共同地点聚集,进食场所：餐饮业-其他;详细进食地点：新疆维吾尔自治区巴音郭楞蒙古自治州库尔勒市餐馆,2019/10/9 1:11,已排除,医院级
1b671e5f421c469b85cbf4ac403d4d99,疑似共同食品聚集,食品名称：扬州炒饭;加工及包装方式：餐饮服务业,2019/10/31 1:13,已确定,医院级
b82e1c0d5b7f44da856fb85f7988b4b6,疑似共同地点聚集,进食场所：其他;详细进食地点：四川省广元市利州区东坝嘉陵路幼儿园,2019/10/31 1:12,已确定,医院级
e6b7b6e00ba64a4aa6462444bfe200cd,疑似共同食品聚集,食品品牌：蒙牛;食品名称：雪糕;加工及包装方式：预包装,2019/8/17 12:10,已排除,医院级
b01db6a5fcd94a9ebce915819227932a,疑似共同地点聚集,进食场所：其他;详细进食地点：湖北省黄冈市武穴市田镇街道马口工业园,2019/7/14 2:58,已排除,医院级
